Key,brazilian

campfireActivate,"Fogueira"
caffeineBuzz,"Superdose de cafeína"
caffeineBuzzDesc,"Cafeína te dá energia, mantém seu Vigor alto e a temperatura interna do corpo mais alta por um tempo limitado."
inpActActionLockStack,"Travar Stack"
inpActInventorySlot9Name,"Espaço 9"
inpActInventorySlot10Name,"Espaço 10"
inpActInventorySlot11Name,"Espaço 11"
inpActInventorySlot12Name,"Espaço 12"
inpActVehicleToggleTopLightName,"Liga/Desl luzes de teto"
inpActVehicleToggleSirenName,"Liga/Desl sirene"
inpActLockSelectedSlotName,"Travar espaço do inventário"
inpActGuiKeyboardSpaceName,"Tecla de Ação 5"
inpActDebugScreenshotName,"Captura de tela de depuração"
infectionDesc,"Você está infectado. Use antibióticos, mel ou antibióticos fitoterapicos para curar a infecção. Se você deixar sem tratamento, a infecção te deixará cada vez mais fraco e por fim te matará."
lblContextActionCraft,"Fabrique"
lblContextActionDrink,"Bebida"
lblContextActionDrop,"Largar"
lblContextActionEat,"Comer"
lblContextActionForge,"Forjar"
lblContextActionPin,"Fixar"
lblContextActionRead,"Ler"
lblContextActionResearch,"Pesquisar"
lblContextActionScrap,"Sucateie"
lblContextActionWear,"Usar"
lblLevel,"Nível: {0}"
lblAcceptQuest,"Aceitar missão"
lblCancelQuest,"Cancelar missão"
lblRemoveQuest,"Remover missão"
lblShareQuest,"Compartilhar missão"
megaCrushBuffName,"Energético"
megaCrushBuffDesc,"Aumenta seus reflexos e ganho de Vigor com um adicional surto de energia!"
rangedWeaponStatsTip_title,"Estatísticas de arma de longo alcance / munição"
statCargo,"Carga"
statCarryCapacity,"Capacidade de carga"
statCritDamageResist,"Resistência a dano crítico"
statDamageAnimals,"Dano em animais"
statDamageDirt,"Dano em sujeira (Dirt)"
statDamageIron,"Dano em ferro"
statDamageMetal,"Dano em metal"
statDamageStone,"Dano em pedra"
statDamageUndead,"Dano em zumbi"
statDamageWood,"Dano em madeira"
statDegradationPerUse,"Degradação"
statResistBleed,"Resistência a sangramento"
